Wind (from south),Wind (from west),Wind (vertical),Wind speed,altitude,temperature
0,-4,0,4,0,298.5842527
0,-5,0,5,100,296.9174798
6.0,0.5,0,6,600,295.5183949
2.9,0.8,0.0,3.0,900.0,294.1
2.6,1.5,0.0,3.0,1500.0,292.7
3.8,3.2,0.0,5.0,2000.0,289.9
5.2,3.0,0.0,6.0,3000.0,287.1
9.0,0.0,0.0,9.0,4200.0,222.0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
