Wind (from south),Wind (from west),Wind (vertical),Wind speed,altitude
0.500164032,0.845561981,0,0.982414944,10
0.322896004,0.866505623,0,0.924712833,130.8879185
-2.068354607,1.202348709,0,2.392432485,352.4424133
-3.153751373,1.510707855,0,3.496910915,578.2762451
-5.133799553,3.181341171,0,6.039605078,808.7623901
-2.062652588,2.022220612,0,2.888583026,1044.560059
-0.707590103,3.353555679,0,3.427392514,1534.772461
-1.688046455,4.908025742,0,5.190203996,2050.0802
-3.747962952,10.61262035,0,11.25499609,3168.041748
-4.181274414,11.70133591,0,12.42595339,4431.600586
-8.631896973,11.87359333,0,14.67964114,5883.070801
-8.293514252,13.45610046,0,15.80661312,7602.463867
-11.04242134,17.68313026,0,20.84773765,9719.170898
-11.14592171,20.78169441,0,23.58199299,10989.95508
-13.36030579,23.38061142,0,26.92862345,12471.05762
-14.93176651,20.04319382,0,24.99374461,14280.94824
-9.75,12.73936653,0,16.04225544,16758.97266
