alt(çÇìx),u(ìåå¸Ç´ïóë¨),v(ñkå¸Ç´ïóë¨),vel(ïóë¨),dir(ïóå¸)
7,-1.7887,1.7481,2.5011,134.3415
170.1224,-2.0818,2.7395,3.4408,142.7679
333.2449,-2.3376,3.473,4.1864,146.0567
496.3673,-1.7878,3.8568,4.251,155.1299
659.4898,-0.8338,4.0484,4.1334,168.3628
822.6122,0.2263,4.057,4.0633,183.1925
985.7347,1.2051,4.224,4.3925,195.9229
1148.8571,1.9325,4.304,4.718,204.1802
1311.9796,2.8258,4.2034,5.065,213.9113
1475.102,3.5017,4.3226,5.563,219.0108
1638.2245,3.9472,4.3529,5.8761,222.2013
1801.3469,4.3275,4.4045,6.1747,224.4943
1964.4694,4.7704,4.5507,6.5928,226.3505
2127.5918,5.1988,4.6614,6.9826,228.1193
2290.7143,5.5537,4.8581,7.3786,228.8219
2453.8367,5.9593,5.07,7.8242,229.6101
2616.9592,6.2573,5.0902,8.0662,230.8719
2780.0816,6.5378,5.0105,8.237,232.5337
2943.2041,6.7389,4.8639,8.3109,234.1797
3106.3265,6.9495,4.7112,8.3959,235.8661
3269.449,7.0734,4.6353,8.4569,236.7627
3432.5714,7.2166,4.7326,8.63,236.7433
3595.6939,7.3791,5.034,8.9327,235.698
3758.8163,7.4495,5.2697,9.125,234.7252
3921.9388,7.7243,5.4677,9.4636,234.7072
4085.0612,8.1127,5.7543,9.9462,234.6522
4248.1837,8.3526,5.9331,10.2454,234.6127
4411.3061,8.4437,5.831,10.2614,235.3721
4574.4286,8.6617,5.7737,10.4097,236.3134
4737.551,8.9518,5.8192,10.677,236.9739
4900.6735,9.2564,5.9544,11.0061,237.2478
5063.7959,9.5093,6.2419,11.3749,236.7192
5226.9184,9.9154,6.61,11.9166,236.3109
5390.0408,10.3446,6.9261,12.4492,236.1959
5553.1633,10.771,7.1519,12.9292,236.416
5716.2857,11.1696,7.424,13.4118,236.3895
5879.4082,11.4961,7.6861,13.8289,236.2338
6042.5306,11.9801,7.9528,14.3795,236.4226
6205.6531,12.6604,8.2488,15.1106,236.9141
6368.7755,13.3966,8.5821,15.9097,237.3557
6531.898,13.922,8.9033,16.5255,237.4007
6695.0204,14.2753,9.3691,17.0753,236.7225
6858.1429,14.5588,9.9242,17.6195,235.719
7021.2653,14.7942,10.4121,18.0909,234.8622
7184.3878,15.0459,10.8078,18.5253,234.3096
7347.5102,15.3028,11.0396,18.8692,234.193
7510.6327,15.5565,11.2026,19.1704,234.2416
7673.7551,15.9053,11.4612,19.6046,234.2237
7836.8776,16.1074,11.6026,19.8512,234.2337
8000,16.0799,11.7475,19.914,233.849
