altitude,Wind speed,direction
7,2.5011,134.3415
170.1224,3.4408,142.7679
333.2449,4.1864,146.0567
496.3673,4.251,155.1299
659.4898,4.1334,168.3628
822.6122,4.0633,183.1925
985.7347,4.3925,195.9229
1148.8571,4.718,204.1802
1311.9796,5.065,213.9113
1475.102,5.563,219.0108
1638.2245,5.8761,222.2013
1801.3469,6.1747,224.4943
1964.4694,6.5928,226.3505
2127.5918,6.9826,228.1193
2290.7143,7.3786,228.8219
2453.8367,7.8242,229.6101
2616.9592,8.0662,230.8719
2780.0816,8.237,232.5337
2943.2041,8.3109,234.1797
3106.3265,8.3959,235.8661
3269.449,8.4569,236.7627
3432.5714,8.63,236.7433
3595.6939,8.9327,235.698
3758.8163,9.125,234.7252
3921.9388,9.4636,234.7072
4085.0612,9.9462,234.6522
4248.1837,10.2454,234.6127
4411.3061,10.2614,235.3721
4574.4286,10.4097,236.3134
4737.551,10.677,236.9739
4900.6735,11.0061,237.2478
5063.7959,11.3749,236.7192
5226.9184,11.9166,236.3109
5390.0408,12.4492,236.1959
5553.1633,12.9292,236.416
5716.2857,13.4118,236.3895
5879.4082,13.8289,236.2338
6042.5306,14.3795,236.4226
6205.6531,15.1106,236.9141
6368.7755,15.9097,237.3557
6531.898,16.5255,237.4007
6695.0204,17.0753,236.7225
6858.1429,17.6195,235.719
7021.2653,18.0909,234.8622
7184.3878,18.5253,234.3096
7347.5102,18.8692,234.193
7510.6327,19.1704,234.2416
7673.7551,19.6046,234.2237
7836.8776,19.8512,234.2337
8000,19.914,233.849
